教材,册,单元,课,游戏名称,游戏链接
华文（小学·北京华文学院版）,第三册,二,十,字词理解,https://wordwall.net/resource/86360659
华文（小学·北京华文学院版）,第三册,三,十三,词语学习,https://quizlet.com/ie/1087671959/%E7%AC%AC13%E8%AF%BE%E7%88%B7%E7%88%B7%E5%8E%BB%E5%85%AC%E5%9B%AD%E6%89%93%E5%A4%AA%E6%9E%81%E6%8B%B3-flash-cards/?i=3vrcho&x=1qqt
华文（小学·北京华文学院版）,第三册,三,十三,拼音认读,https://wordwall.net/resource/99422538
华文（小学·北京华文学院版）,第三册,三,十三,词语理解,https://wordwall.net/resource/97903998
华文（小学·北京华文学院版）,第三册,三,十三,读音意思配对1,https://wordwall.net/resource/97910875
华文（小学·北京华文学院版）,第三册,三,十三,读音意思配对2,https://wordwall.net/resource/97911125
华文（小学·北京华文学院版）,第三册,三,十三,读音意思配对3,https://wordwall.net/resource/97911124
华文（小学·北京华文学院版）,第三册,三,十三,读音意思配对4,https://wordwall.net/resource/97911415
华文（小学·北京华文学院版）,第三册,三,十三,句子练习,https://wordwall.net/resource/97927837
华文（小学·北京华文学院版）,第三册,三,十四,词语学习--读音,https://quizlet.com/ie/1091007279/%E4%B8%8914%E6%88%91%E4%BB%AC%E5%9D%90%E8%BD%A6%E5%8E%BB%E5%8A%A8%E7%89%A9%E5%9B%AD-flash-cards/?i=3vrcho&x=1jqt
华文（小学·北京华文学院版）,第三册,三,十四,词语学习--理解,https://quizlet.com/ie/1094618452/%E4%B8%8914%E6%88%91%E4%BB%AC%E5%9D%90%E8%BD%A6%E5%8E%BB%E5%8A%A8%E7%89%A9%E5%9B%AD-%E7%90%86%E8%A7%A3-flash-cards/?i=3vrcho&x=1jqt
华文（小学·北京华文学院版）,第三册,三,十四,词卡认读,https://wordwall.net/resource/99976102
华文（小学·北京华文学院版）,第三册,三,十四,听力练习1,https://wordwall.net/resource/100000607
华文（小学·北京华文学院版）,第三册,三,十四,听力练习2,https://wordwall.net/resource/100614043
华文（小学·北京华文学院版）,第三册,三,十四,"打字练习（till 10/11/3/2025, 10:28 PM）",https://play.blooket.com/play?hwId=68fff265998e209933bb1bea
华文（小学·北京华文学院版）,第三册,三,十五,词语练习--读音,https://quizlet.com/ie/1094668136/%E4%B8%8915%E5%A4%A7%E5%AE%B6%E5%8E%BB%E9%83%8A%E6%B8%B8-%E6%8B%BC%E9%9F%B3-flash-cards/?i=3vrcho&x=1jqt
华文（小学·北京华文学院版）,第三册,三,十五,词语练习--理解,https://quizlet.com/ie/1094704526/%E4%B8%8915%E5%A4%A7%E5%AE%B6%E5%8E%BB%E9%83%8A%E6%B8%B8-%E7%90%86%E8%A7%A3-flash-cards/?i=3vrcho&x=1jqt
华文（小学·北京华文学院版）,第三册,三,十五,听力练习1,https://wordwall.net/resource/100000252
华文（小学·北京华文学院版）,第三册,三,十五,听力练习2,https://wordwall.net/resource/100000464
华文（小学·北京华文学院版）,第三册,三,十五,打字练习（till 31/10/2025）,https://play.blooket.com/play?hwId=68f3bf18d6efdb7822cf0fc6
,,,,,
YCT标准教程,第二册,二,,字词认读,https://wordwall.net/resource/97813948
YCT标准教程,第二册,二,,听力练习,https://wordwall.net/resource/99266502
YCT标准教程,第二册,二,,词语练习,https://quizlet.com/ie/1089871572/%E4%BA%8C2%E4%BD%A0%E6%97%A9%E4%B8%8A%E5%87%A0%E7%82%B9%E8%B5%B7%E5%BA%8A-flash-cards/?i=3vrcho&x=1jqt
YCT标准教程,第二册,二,,打字练习,
YCT标准教程,第二册,三,,词语练习,https://quizlet.com/ie/1089833895/3%E4%BD%A0%E7%9A%84%E9%93%85%E7%AC%94%E5%91%A2-flash-cards/?i=3vrcho&x=1jqt
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,四,,词语练习,https://quizlet.com/ie/1093129149/%E4%BA%8C4%E4%B9%A6%E5%8C%85%E9%87%8C%E6%9C%89%E4%B8%A4%E6%9C%AC%E4%B9%A6-flash-cards/?i=3vrcho&x=1qqt
YCT标准教程,第二册,四,,字词认读1,https://wordwall.net/resource/99747692
YCT标准教程,第二册,四,,字词认读2,https://wordwall.net/resource/99747535
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
YCT标准教程,第二册,,,,
,,,,,
中文（小学·欧洲版）,第一册,一,,词语练习,https://quizlet.com/ie/1087700000/%E7%AC%AC%E4%B8%80%E5%8D%95%E5%85%83-%E6%9C%89%E8%B6%A3%E7%9A%84%E8%B1%A1%E5%BD%A2%E5%AD%97-flash-cards/?i=3vrcho&x=1qqt
中文（小学·欧洲版）,第一册,一,,这是什么字,https://wordwall.net/resource/87856709
中文（小学·欧洲版）,第一册,一,,笔画,https://wordwall.net/resource/87738606
中文（小学·欧洲版）,第一册,一,,字词理解,https://wordwall.net/resource/87739382
中文（小学·欧洲版）,第一册,一,,词语积累,https://wordwall.net/resource/87740092
中文（小学·欧洲版）,第一册,一,,听力练习1,https://wordwall.net/resource/100234018
中文（小学·欧洲版）,第一册,一,,听力练习2,https://wordwall.net/resource/100234150
中文（小学·欧洲版）,第一册,二,,词语练习,https://quizlet.com/ie/1087721030/%E7%AC%AC%E4%BA%8C%E5%8D%95%E5%85%83-%E6%9C%89%E8%B6%A3%E7%9A%84%E4%BC%9A%E6%84%8F%E5%AD%97-flash-cards/?i=3vrcho&x=1jqt
中文（小学·欧洲版）,第一册,二,,这是什么字,https://wordwall.net/resource/99039464
中文（小学·欧洲版）,第一册,二,,词语积累,https://wordwall.net/resource/100233091
中文（小学·欧洲版）,第一册,二,,听力练习,https://wordwall.net/resource/100232531
中文（小学·欧洲版）,第一册,三,一,词语练习,
中文（小学·欧洲版）,第一册,三,一,拼音配对,
中文（小学·欧洲版）,第一册,三,一,打字练习,
中文（小学·欧洲版）,第一册,三,二,词语练习,
中文（小学·欧洲版）,第一册,三,二,拼音配对,
中文（小学·欧洲版）,第一册,三,二,打字练习,
中文（小学·欧洲版）,第一册,三,三,词语练习,
中文（小学·欧洲版）,第一册,三,三,拼音配对,
中文（小学·欧洲版）,第一册,三,三,打字练习,
中文（小学·欧洲版）,第一册,四,五,词语练习,
中文（小学·欧洲版）,第一册,四,五,听力练习,
中文（小学·欧洲版）,第一册,四,五,词语积累,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,六,拼音练习1,https://wordwall.net/resource/100121414
中文（小学·欧洲版）,第一册,四,六,拼音练习2,https://wordwall.net/resource/100121564
中文（小学·欧洲版）,第一册,四,六,听力练习1,https://wordwall.net/resource/100120751
中文（小学·欧洲版）,第一册,四,六,听力练习2,https://wordwall.net/resource/100121973
中文（小学·欧洲版）,第一册,四,六,字词认读,https://quizlet.com/ie/1088086693/%E7%AC%AC%E5%9B%9B%E5%8D%95%E5%85%83-%E5%A5%BD%E7%8E%A9%E7%9A%84%E6%8B%BC%E9%9F%B32-6%E4%BD%A0%E5%90%83%E4%BB%80%E4%B9%88-flash-cards/?i=3vrcho&x=1jqt
中文（小学·欧洲版）,第一册,四,七,拼音练习1,https://wordwall.net/resource/100229399
中文（小学·欧洲版）,第一册,四,七,拼音练习2,https://wordwall.net/resource/100229100
中文（小学·欧洲版）,第一册,四,七,听力练习1,https://wordwall.net/resource/100230013
中文（小学·欧洲版）,第一册,四,七,听力练习2,https://wordwall.net/resource/100230201
中文（小学·欧洲版）,第一册,四,七,字词认读,https://quizlet.com/ie/1088089621/%E7%AC%AC%E5%9B%9B%E5%8D%95%E5%85%83-%E5%A5%BD%E7%8E%A9%E7%9A%84%E6%8B%BC%E9%9F%B32-7%E5%9C%A8%E5%81%9A%E4%BB%80%E4%B9%88-flash-cards/?i=3vrcho&x=1jqt
中文（小学·欧洲版）,第一册,四,七,笔画,
中文（小学·欧洲版）,第一册,四,八,词语练习,
中文（小学·欧洲版）,第一册,四,八,听力练习,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
中文（小学·欧洲版）,第一册,四,,,
,,,,,
中文（小学·欧洲版）,第二册,一,,词语练习,https://quizlet.com/ie/1092476560/%E4%BA%8C%E7%AC%AC%E4%B8%80%E5%8D%95%E5%85%83-flash-cards/?i=3vrcho&x=1jqt
中文（小学·欧洲版）,第二册,,,听力练习,
中文（小学·欧洲版）,第二册,,,打字练习,
中文（小学·欧洲版）,第二册,,,字词理解,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
中文（小学·欧洲版）,第二册,,,,
